circulating_supply,market_cap,name,price,rank,symbol,volume_24h
"244,951,954 PAX *","$245,396,334",Paxos Standard,$1.00,68,PAX,"$116,675,932"
"196,911,019 NEAR *","$238,248,732",NEAR Protocol,$1.21,69,NEAR,"$20,946,393"
"214,830,037 AMPL *","$230,133,498",Ampleforth,$1.07,70,AMPL,"$15,417,101"
"842,793,621 ABBC","$223,328,899",ABBC Coin,$0.264986,71,ABBC,"$41,059,781"
"76,937,055 AVAX *","$220,803,529",Avalanche,$2.87,72,AVAX,"$17,707,270"
"1,202,201,433 LRC *","$216,898,903",Loopring,$0.180418,73,LRC,"$42,220,879"
"97,515,284 QTUM *","$214,473,806",Qtum,$2.20,74,QTUM,"$330,210,541"
"6,603,011,778 HBAR *","$214,120,354",Hedera Hashgraph,$0.032428,75,HBAR,"$10,409,755"
"158,432,088 RUNE *","$189,439,254",THORChain,$1.20,76,RUNE,"$35,957,606"
"124,447,717 CELO *","$190,932,348",Celo,$1.53,77,CELO,"$1,858,759"
"30,062,138 EWT *","$187,174,033",Energy Web Token,$6.23,78,EWT,"$954,671"
"11,000,000 REP *","$180,279,051",Augur,$16.39,79,REP,"$16,146,930"
"9,349,999,000 RSR *","$180,227,435",Reserve Rights,$0.019276,80,RSR,"$78,980,262"
"200,846,929 KNC *","$160,661,578",Kyber Network,$0.799921,81,KNC,"$22,896,776"
"45,238,102,992 SC","$154,645,797",Siacoin,$0.003418,82,SC,"$12,427,554"
"181,016,764 UST *","$150,534,301",TerraUSD,$0.831604,83,UST,"$1,424,436"
"17,513,924 BTG","$148,859,615",Bitcoin Gold,$8.50,84,BTG,"$9,299,682"
"339,231,468 HEDG *","$146,732,059",HedgeTrade,$0.432543,85,HEDG,"$315,886"
"5,801,350 NXM *","$146,250,853",NXM,$25.21,86,NXM,"$21,010,060"
"126,799,338 LSK *","$145,977,776",Lisk,$1.15,87,LSK,"$2,799,340"
"5,031 BTCB *","$143,744,167",Bitcoin BEP2,"$28,570.48",88,BTCB,"$93,691"
"133,248,297 NANO *","$141,438,448",Nano,$1.06,89,NANO,"$6,185,959"
"4,962,631,792 TFUEL *","$140,054,068",Theta Fuel,$0.028222,90,TFUEL,"$9,755,977"
"419,026,837 OCEAN *","$137,214,088",Ocean Protocol,$0.327459,91,OCEAN,"$20,108,420"
"12,072,738 QNT *","$137,570,659",Quant,$11.40,92,QNT,"$3,152,175"
"452,552,412 MAID *","$135,509,370",MaidSafeCoin,$0.299434,93,MAID,"$478,789"
"16,411,405,943 XVG","$130,240,217",Verge,$0.007936,94,XVG,"$3,467,037"
"126,485,880 HUSD *","$126,640,744",HUSD,$1.00,95,HUSD,"$65,412,997"
"1,060,404,496 CVT *","$125,555,246",CyberVein,$0.118403,96,CVT,"$6,138,596"
"95,796,471 BNT *","$124,256,415",Bancor,$1.30,97,BNT,"$25,616,440"
"5,429,628,749 CHZ *","$123,797,270",Chiliz,$0.022800,98,CHZ,"$148,593,645"
"39,609,523 ANT *","$119,080,904",Aragon,$3.01,99,ANT,"$11,852,840"
"463,288,810 ZB *","$117,976,114",ZB Token,$0.254649,100,ZB,"$9,357,884"
"1,504,589 GNO *","$115,912,087",Gnosis,$77.04,101,GNO,"$323,536"
"1,483,775,048 MANA *","$115,890,535",Decentraland,$0.078105,102,MANA,"$11,529,896"
"10,599,900 ZEN","$115,457,090",Horizen,$10.89,103,ZEN,"$10,156,084"
"20,494,033 BAND *","$111,874,288",Band Protocol,$5.46,104,BAND,"$57,005,763"
"3,470,483,788 SNT *","$111,432,714",Status,$0.032109,105,SNT,"$8,891,302"
"823,130,411 ENJ *","$108,171,758",Enjin Coin,$0.131415,106,ENJ,"$9,499,872"
"677,726,677 RIF *","$107,851,205",RSK Infrastructure Framework,$0.159137,107,RIF,"$1,581,941"
"4,465,670 NMR *","$103,824,024",Numeraire,$23.25,108,NMR,"$4,317,369"
"7,803,545,000 RVN","$98,842,192",Ravencoin,$0.012666,109,RVN,"$6,126,463"
"167,249,427,985 HOT *","$98,121,152",Holo,$0.000587,110,HOT,"$5,710,721"
"1,518,114,145,968 KIN *","$94,333,606",Kin,$0.000062,111,KIN,"$585,866"
"6,943,831 BAL *","$89,902,175",Balancer,$12.95,112,BAL,"$40,490,545"
"65,729,675 MONA","$89,204,340",MonaCoin,$1.36,113,MONA,"$3,763,539"
"367,584,352 OXT *","$86,938,099",Orchid,$0.236512,114,OXT,"$6,315,301"
"4,812,024,448 MATIC *","$86,551,785",Matic Network,$0.017987,115,MATIC,"$9,771,129"
"15,324,121,695 IOST *","$86,055,586",IOST,$0.005616,116,IOST,"$20,094,172"
"155,297,961 CRV *","$84,877,864",Curve DAO Token,$0.546548,117,CRV,"$88,932,221"
"186,492,898 BCD","$84,745,910",Bitcoin Diamond,$0.454419,118,BCD,"$2,412,280"
"72,164,169 1INCH *","$83,153,262",1inch,$1.15,119,1INCH,"$179,366,081"
"50,000,000,000 DX *","$82,666,660",DxChain Token,$0.001653,120,DX,"$176,403"
"21,948,011,545 CKB *","$82,232,554",Nervos Network,$0.003747,121,CKB,"$3,587,893"
"33,394,701 AR *","$80,088,757",Arweave,$2.40,122,AR,"$2,605,000"
"63,539,148 HNT","$78,595,563",Helium,$1.24,123,HNT,"$697,828"
"1,397,879,782 BTM","$76,397,479",Bytom,$0.054652,124,BTM,"$10,450,663"
"38,995 PAXG *","$74,723,090",PAX Gold,"$1,916.21",125,PAXG,"$4,000,022"
"653,140,784 GNT *","$74,727,385",Golem,$0.114412,126,GNT,"$1,367,155"
"46,569,948 SOL *","$72,886,452",Solana,$1.57,127,SOL,"$16,672,806"
"998,999,495 ARDR *","$70,991,776",Ardor,$0.071063,128,ARDR,"$9,701,599"
"148,799,999 UBT *","$69,676,389",Unibright,$0.468255,129,UBT,"$1,443,270"
"584,279,013 PNK *","$67,263,323",Kleros,$0.115122,130,PNK,"$1,460,571"
"123,402,048 KMD","$65,049,480",Komodo,$0.527135,131,KMD,"$1,147,268"
"2,106,296,362 VLX *","$63,948,866",Velas,$0.030361,132,VLX,"$1,311,120"
"394,795,512 STEEM *","$63,042,199",Steem,$0.159683,133,STEEM,"$1,721,406"
"216,098,645 STORJ *","$62,686,875",Storj,$0.290085,134,STORJ,"$9,878,847"
"2,994,830,000 BTS *","$62,597,041",BitShares,$0.020902,135,BTS,"$6,445,188"
"14,905,966 INJ *","$62,203,913",Injective Protocol,$4.17,136,INJ,"$21,231,880"
"321,395,830 NOIA *","$61,634,295",Syntropy,$0.191771,137,NOIA,"$1,857,688"
"1,500,000,000 ROSE *","$60,818,035",Oasis Network,$0.040545,138,ROSE,"$4,941,764"
"46,876,230 KAVA *","$59,828,973",Kava.io,$1.28,139,KAVA,"$11,536,605"
"80,070,793 RLC *","$59,182,720",iExec RLC,$0.739130,140,RLC,"$1,649,611"
"339,879,890 TRAC *","$59,200,158",OriginTrail,$0.174180,141,TRAC,"$302,770"
"80,118,638 KCS *","$57,187,933",KuCoin Shares,$0.713791,142,KCS,"$7,784,752"
"2,071,428,726 DIVI","$57,100,777",Divi,$0.027566,143,DIVI,"$307,214"
"670,000,000 CVC *","$56,982,188",Civic,$0.085048,144,CVC,"$19,904,744"
"544,480,200 ELF *","$56,815,396",aelf,$0.104348,145,ELF,"$9,692,926"
"449,981,000 UTK *","$56,701,471",Utrust,$0.126009,146,UTK,"$2,303,167"
"38,596 YFII *","$55,119,212",DFI.Money,"$1,428.11",147,YFII,"$55,377,127"
"169,028,581 WAN *","$54,876,279",Wanchain,$0.324657,148,WAN,"$2,237,080"
"6,496,232,711 ANKR *","$54,383,879",Ankr,$0.008372,149,ANKR,"$5,883,573"
"14,224,813 XHV *","$54,218,673",Haven Protocol,$3.81,150,XHV,"$512,388"
"36,300,966 NRG","$52,154,477",Energi,$1.44,151,NRG,"$2,801,354"
"8,241,111,256 TMTG *","$51,912,218",The Midas Touch Gold,$0.006299,152,TMTG,"$2,348,896"
"50,000,000 SRM *","$51,509,213",Serum,$1.03,153,SRM,"$36,501,400"
"1,465,858,413 WAXP *","$51,556,381",WAX,$0.035171,154,WAXP,"$912,760"
"76,474,225 TOMO","$51,200,397",TomoChain,$0.669512,155,TOMO,"$4,610,606"
"2,260,326,706 JST *","$51,200,242",JUST,$0.022652,156,JST,"$43,331,834"
"76,766,934 SXP *","$49,937,164",Swipe,$0.650504,157,SXP,"$22,867,012"
"10,222,032,383 ETN","$49,962,230",Electroneum,$0.004888,158,ETN,"$451,655"
"419,402,775 HIVE *","$47,564,068",Hive,$0.113409,159,HIVE,"$939,371"
"200,001 KP3R *","$47,690,661",Keep3rV1,$238.45,160,KP3R,"$15,051,983"
"126,137,071 ARK *","$46,912,761",Ark,$0.371919,161,ARK,"$2,659,017"
"100,074,480 STRAX *","$44,969,135",Stratis,$0.449357,162,STRAX,"$532,960"
"555,670,901 POLY *","$44,336,921",Polymath,$0.079790,163,POLY,"$1,706,438"
"10,000,000 UQC *","$44,121,726",Uquid Coin,$4.41,164,UQC,"$8,720,815"
"2,052,601,658 SHR *","$41,471,405",ShareToken,$0.020204,165,SHR,"$2,024,067"
"1,477,204 MLN *","$41,962,362",Melon,$28.41,166,MLN,"$3,017,540"
"234,624,488,396 NPXS *","$40,998,854",Pundi X,$0.000175,167,NPXS,"$1,447,686"
"423,992,467 POWR *","$40,776,580",Power Ledger,$0.096173,168,POWR,"$1,271,870"
"2,545,006,273 FTM *","$40,181,905",Fantom,$0.015789,169,FTM,"$3,352,783"
"19,728,638 XLT *","$39,100,146",Nexalt,$1.98,170,XLT,"$646,030"
"31,979,207 EURS *","$38,973,293",STASIS EURO,$1.22,171,EURS,"$1,552,619"
"746,113,681 FET *","$37,857,314",Fetch.ai,$0.050739,172,FET,"$3,302,658"
"5,734,304,441 IOTX *","$37,759,923",IoTeX,$0.006585,173,IOTX,"$2,658,289"
"853,144,672 AGI *","$37,736,510",SingularityNET,$0.044232,174,AGI,"$308,339"
"15,793,831 MCO *","$37,044,035",MCO,$2.35,175,MCO,"$13,451,970"
"11,373,843 XZC","$37,049,254",Firo,$3.26,176,XZC,"$2,165,659"
"431,580,000 HYN *","$36,678,966",Hyperion,$0.084988,177,HYN,"$56,823"
"112,927,138 ADX *","$35,741,966",AdEx Network,$0.316505,178,ADX,"$877,635"
"999,966,001 REQ *","$35,150,466",Request,$0.035152,179,REQ,"$471,838"
"282,510,439 UOS *","$35,199,109",Ultra,$0.124594,180,UOS,"$585,310"
"603,121,392 SYS","$35,053,549",Syscoin,$0.058120,181,SYS,"$1,813,257"
"70,590,732 SWAP *","$34,771,818",TrustSwap,$0.492583,182,SWAP,"$1,192,500"
"345,065,355 HNS *","$34,900,853",Handshake ,$0.101143,183,HNS,"$670,651"
"222,295,208 VGX *","$34,372,225",Voyager Token,$0.154624,184,VGX,"$566,517"
"47,903,846 AVA *","$34,045,879",Travala.com,$0.710713,185,AVA,"$1,374,421"
"28,808,713,174 RDD *","$33,972,878",ReddCoin,$0.001179,186,RDD,"$136,214"
"8,234,250,415 ONE *","$33,919,126",Harmony,$0.004119,187,ONE,"$3,731,064"
"271,739,822 LTO *","$33,837,341",LTO Network,$0.124521,188,LTO,"$3,145,494"
"938,135,336 IRIS *","$33,418,815",IRISnet,$0.035623,189,IRIS,"$1,489,437"
"28,271,916 DIA *","$33,148,658",DIA,$1.17,190,DIA,"$8,788,006"
"179,141,316 HXRO *","$32,982,364",Hxro,$0.184114,191,HXRO,"$316,049"
"73,400,549 GT *","$32,836,078",GateToken,$0.447355,192,GT,"$15,719,443"
"6,399,906,497 QKC *","$32,064,154",QuarkChain,$0.005010,193,QKC,"$1,674,710"
"174,136,442 ALPHA *","$31,329,295",Alpha Finance Lab,$0.179912,194,ALPHA,"$10,102,785"
"487,496,874 AION","$30,175,626",Aion,$0.061899,195,AION,"$1,670,978"
"3,628,601 STAKE *","$30,233,403",xDai,$8.33,196,STAKE,"$1,457,790"
"1,144,002,828 SWTH *","$30,028,325",Switcheo,$0.026248,197,SWTH,"$204,703"
"10,630,888,857 MVL *","$30,012,507",MVL,$0.002823,198,MVL,"$3,611,619"
"189,000,000 WICC *","$29,785,922",WaykiChain,$0.157597,199,WICC,"$3,768,417"
"5,887,903,653 TT *","$29,734,075",Thunder Token,$0.005050,200,TT,"$3,156,607"
